,0
0,395.39982512500137
1,389.6027690839983
2,423.37865708300524
3,393.94851008399564
4,414.2401062919962
5,440.6955010829988
6,414.3914674999978
7,415.2563297079978
8,405.38680079200276
9,416.3741222499957
10,434.9465630419945
11,421.0434539589987
12,427.25302287499653
13,426.78787412499514
14,447.08898683299776
